prompt,categories,topic_domain,intent_type,confidence,token_count,best_model,true_category
Write a regex pattern to validate emails (variation 871),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Implement caching with Redis (variation 15),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 691),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 241),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Debug this JavaScript React component (variation 734),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 749),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Debug this JavaScript React component (variation 525),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Implement data structures like linked lists (variation 86),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GPT-OSS,coding
Implement authentication with JWT tokens (variation 557),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Set up a Docker container for microservices (variation 796),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,GLM4.5,coding
Create a CI/CD pipeline with GitHub Actions (variation 340),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,GPT-OSS,coding
Build a GraphQL API with Node.js (variation 640),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,GPT-OSS,coding
Build a web scraper using BeautifulSoup (variation 190),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Create API documentation with Swagger (variation 973),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GPT-OSS,coding
Build a web scraper using BeautifulSoup (variation 710),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write unit tests for this Python class (variation 318),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Implement data structures like linked lists (variation 234),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Implement caching with Redis (variation 827),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Write unit tests for this Python class (variation 692),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 442),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Build a web scraper using BeautifulSoup (variation 386),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Implement a machine learning model in TensorFlow (variation 625),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GPT-OSS,coding
Build a chatbot using NLP libraries (variation 2),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 736),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GPT-OSS,coding
Implement data structures like linked lists (variation 638),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Create a CI/CD pipeline with GitHub Actions (variation 730),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,GPT-OSS,coding
Debug this JavaScript React component (variation 439),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,GPT-OSS,coding
Build a chatbot using NLP libraries (variation 767),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GLM4.5,coding
Implement a machine learning model in TensorFlow (variation 884),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GPT-OSS,coding
Build a GraphQL API with Node.js (variation 511),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 201),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Set up a Docker container for microservices (variation 464),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",9,TNG DeepSeek,coding
Create API documentation with Swagger (variation 764),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GPT-OSS,coding
Implement data structures like linked lists (variation 346),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Implement data structures like linked lists (variation 148),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Create API documentation with Swagger (variation 489),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GPT-OSS,coding
Build a web scraper using BeautifulSoup (variation 338),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Build a GraphQL API with Node.js (variation 988),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.7708333333333334}",9,GPT-OSS,coding
Write async/await functions in JavaScript (variation 151),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 611),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Create a responsive CSS layout (variation 346),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GPT-OSS,coding
Create API documentation with Swagger (variation 572),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 304),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,GPT-OSS,coding
Implement a machine learning model in TensorFlow (variation 37),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GLM4.5,coding
Write unit tests for this Python class (variation 233),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Create a responsive CSS layout (variation 208),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GPT-OSS,coding
Write a Python function to implement binary search (variation 920),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,GLM4.5,coding
Build a chatbot using NLP libraries (variation 968),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GLM4.5,coding
Create a database schema for e-commerce (variation 852),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Create a responsive CSS layout (variation 510),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GPT-OSS,coding
Write async/await functions in JavaScript (variation 896),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 822),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Write unit tests for this Python class (variation 996),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GLM4.5,coding
Write a Python function to implement binary search (variation 398),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Create API documentation with Swagger (variation 504),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Build a web scraper using BeautifulSoup (variation 195),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Write a Python function to implement binary search (variation 688),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Implement data structures like linked lists (variation 470),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 670),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,GPT-OSS,coding
Optimize memory usage in this algorithm (variation 563),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,GPT-OSS,coding
Create a REST API using Flask/Django (variation 277),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Implement caching with Redis (variation 960),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,GPT-OSS,coding
Create a responsive CSS layout (variation 659),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 512),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 373),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,GPT-OSS,coding
Write unit tests for this Python class (variation 37),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Build a chatbot using NLP libraries (variation 302),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Optimize this SQL query for better performance (variation 700),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 256),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Write async/await functions in JavaScript (variation 793),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 872),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Write async/await functions in JavaScript (variation 288),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GPT-OSS,coding
Create a REST API using Flask/Django (variation 639),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Create a REST API using Flask/Django (variation 986),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,GPT-OSS,coding
Write a Python function to implement binary search (variation 393),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,GLM4.5,coding
Create a responsive CSS layout (variation 39),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Optimize this SQL query for better performance (variation 818),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 828),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
Debug this JavaScript React component (variation 685),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Create a database schema for e-commerce (variation 512),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Write a regex pattern to validate emails (variation 972),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,GPT-OSS,coding
Implement caching with Redis (variation 92),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Implement data structures like linked lists (variation 665),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 692),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,TNG DeepSeek,coding
Implement caching with Redis (variation 54),['coding'],technical,question,"{'category': 0.35, 'domain': 0.25, 'intent': 0.0, 'overall': 0.22916666666666666}",6,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 993),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GLM4.5,coding
Create a CI/CD pipeline with GitHub Actions (variation 620),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",10,GLM4.5,coding
Debug this JavaScript React component (variation 774),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",7,TNG DeepSeek,coding
Create API documentation with Swagger (variation 350),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Create a database schema for e-commerce (variation 820),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.625, 'intent': 0.6666666666666666, 'overall': 0.875}",9,GLM4.5,coding
Write async/await functions in JavaScript (variation 636),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",8,GPT-OSS,coding
Implement data structures like linked lists (variation 657),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Implement data structures like linked lists (variation 604),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GLM4.5,coding
Implement a machine learning model in TensorFlow (variation 474),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GPT-OSS,coding
Write unit tests for this Python class (variation 908),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 751),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Create a responsive CSS layout (variation 601),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GLM4.5,coding
Write a Python function to implement binary search (variation 272),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 790),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,GLM4.5,coding
Optimize this SQL query for better performance (variation 76),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Implement data structures like linked lists (variation 997),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Write a regex pattern to validate emails (variation 220),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",9,TNG DeepSeek,coding
Build a chatbot using NLP libraries (variation 94),['general'],casual,question,"{'category': 0.0, 'domain': 0.125, 'intent': 0.0, 'overall': 0.041666666666666664}",8,GPT-OSS,coding
Create API documentation with Swagger (variation 453),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,TNG DeepSeek,coding
Create a responsive CSS layout (variation 341),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,TNG DeepSeek,coding
Write a Python function to implement binary search (variation 254),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",10,TNG DeepSeek,coding
Implement authentication with JWT tokens (variation 758),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,GLM4.5,coding
Create a REST API using Flask/Django (variation 180),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 1.0}",9,TNG DeepSeek,coding
Implement data structures like linked lists (variation 442),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,TNG DeepSeek,coding
Implement a machine learning model in TensorFlow (variation 516),['coding'],technical,code_request,"{'category': 1.0, 'domain': 0.375, 'intent': 0.6666666666666666, 'overall': 0.8645833333333334}",9,TNG DeepSeek,coding
Create a responsive CSS layout (variation 759),['coding'],casual,question,"{'category': 0.35, 'domain': 0.125, 'intent': 0.0, 'overall': 0.1875}",7,GPT-OSS,coding
Create API documentation with Swagger (variation 664),['coding'],technical,question,"{'category': 0.8, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4583333333333333}",7,GPT-OSS,coding
Optimize this SQL query for better performance (variation 380),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,GLM4.5,coding
Implement data structures like linked lists (variation 427),"['coding', 'reasoning', 'general']",technical,question,"{'category': 0.75, 'domain': 0.375, 'intent': 0.0, 'overall': 0.4375}",8,GPT-OSS,coding
Optimize this SQL query for better performance (variation 577),['coding'],technical,question,"{'category': 1.0, 'domain': 0.875, 'intent': 0.0, 'overall': 0.9375}",9,Qwen3,coding
Implement authentication with JWT tokens (variation 43),['coding'],technical,question,"{'category': 0.45, 'domain': 0.25, 'intent': 0.0, 'overall': 0.2708333333333333}",7,TNG DeepSeek,coding
Optimize memory usage in this algorithm (variation 12),['coding'],technical,question,"{'category': 0.9, 'domain': 0.375, 'intent': 0.0, 'overall': 0.5}",8,TNG DeepSeek,coding
